﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:4LLTqpc4ywNrx89seBQi3w","When Doves Cry - Recorded At Spotify Studios NYC","Sarah Jarosz","Spotify Singles","1","2","280827","spotify:user:","2018-10-05T00:12:39Z"
"spotify:track:6mEeutpoC30B6yALroRlFW","I Believe in a Thing Called Love","Branches","Covers","1","1","184000","spotify:user:","2018-10-05T00:12:39Z"
"spotify:track:4q7wdKi7TnNdx4zA9MVLP7","The Boys of Summer","Front Country","Mixtape","1","2","310853","spotify:user:","2018-10-05T00:12:39Z"
"spotify:track:4Vk9JVC3eBEY35i7JgkSTG","Such Great Heights","Joy Kills Sorrow","Wide Awake","1","3","253346","spotify:user:","2018-10-05T00:12:39Z"
"spotify:track:4Cfn1AAAAUJC9cI4AwGAld","Hit 'Em up Style","Carolina Chocolate Drops","Genuine Negro Jig","1","4","236600","spotify:user:","2018-10-05T00:12:39Z"
"spotify:track:7o7LWBj18034zYmqRDWOff","Bittersweet Symphony","Graeme James","Play One We All Know, Vol. II","1","4","224720","spotify:user:","2018-10-05T00:12:39Z"
"spotify:track:5hOaRdlUqUSZ5nv8kQx1DF","Don't You (Forget About Me)","The Wind and The Wave","Covers One","1","2","249586","spotify:user:","2018-10-05T00:12:39Z"
"spotify:track:7jHpuHfI0bhd4gYiz7jVL0","I Bet My Life","Pickin' On Series","Pickin' on the Hits of 2015","1","2","196746","spotify:user:","2018-10-05T00:12:39Z"
"spotify:track:4TdQmsHwJQbCaVSen5W9Zv","Counting Stars","Mountain Faith","Mountain Faith Pop Series","1","3","96960","spotify:user:","2018-10-05T00:12:39Z"
"spotify:track:5vqMxpcsEzarRT1RSNM52X","Don't You Want Me","The DeLorean Sisters","The DeLorean Sisters","1","3","182360","spotify:user:","2018-10-05T00:12:39Z"
"spotify:track:5nkAJwICnwnzsriZCcastc","Kryptonite","Pickin' On Series, Cornbread Red","Pickin' On 3 Doors Down: A Bluegrass Tribute - Down to This:","1","1","225506","spotify:user:","2018-10-05T00:12:39Z"
"spotify:track:3tcmqEQe8CUmktxtlZPow5","Dark Horse","The Beef Seeds","Rhythm and Moos","1","1","262001","spotify:user:","2018-10-05T00:12:39Z"
"spotify:track:2xq0fx3i99PG6VRc4EDc7B","1979","Darlingside","Whippoorwill","1","5","245844","spotify:user:","2018-10-05T00:12:39Z"
"spotify:track:1b5Cgfs0La5peeZ7Sw7y6y","What I Am - Recorded at Spotify Studios NYC","Iron & Wine","Spotify Singles","1","2","235579","spotify:user:","2018-10-05T00:12:39Z"
"spotify:track:3pFrmDEYiSfvTFvTdqO6kY","Islands in the Stream","Love Canon","Cover Story","1","5","244000","spotify:user:","2018-10-05T00:12:39Z"
"spotify:track:72dagJWCsNeAmHYBdQdksq","Rocket Man","Mile Twelve","Rocket Man","1","1","203355","spotify:user:","2018-10-05T00:12:39Z"
"spotify:track:3E4miyUPbCkdMoPGnJaPmv","...Baby One More Time","Jamie Kent","Will You Go Out With Me?","1","1","205094","spotify:user:","2018-10-05T00:12:39Z"
"spotify:track:1geAoz2QzafYdcLYTTlCzB","Pursuit of Happiness","Honeybucket","Stompin' Grounds","1","1","213120","spotify:user:","2018-10-05T00:12:39Z"
"spotify:track:4muAGMNipTEtIoYfMa9QL0","Amsterdam - Recorded at Spotify Studios NYC","Mandolin Orange","Spotify Singles","1","2","193671","spotify:user:","2018-10-05T00:12:39Z"
"spotify:track:4XRQgH9uA2hNcphAjSoPUs","Africa","Love Canon","Greatest Hits, Vol. 1","1","3","243533","spotify:user:","2018-10-05T00:12:39Z"
"spotify:track:3oVRuQY34aspcdgEWbL0lD","Clocks","Pickin' On Series","The Fantastic Pickin' on Series Bluegrass Sampler, Vol. 2","1","12","455973","spotify:user:","2018-10-05T00:12:39Z"
"spotify:track:6L5QcgxgdqWAh9fknzChJH","Game of Thrones (Main Theme)","Flatt Lonesome","Game of Thrones (Main Theme)","1","1","301962","spotify:user:","2018-10-05T00:12:39Z"
"spotify:track:3k3rsujAAKrvCXcyCzFtsU","Kiss From A Rose","Mustered Courage","Kiss From A Rose","1","1","156916","spotify:user:","2018-10-05T00:12:39Z"
"spotify:track:2BkIizhyucfTfpnT0jcLCV","Under Pressure","Pickin' On Series, Cornbread Red","Bluegrass Tribute to Classic Rock","1","4","216800","spotify:user:","2018-10-05T00:12:39Z"
"spotify:track:3wWmZKqmJkQEdsfIsncoFz","Pinball Wizard","The HillBenders","Tommy: A Bluegrass Opry","1","12","223973","spotify:user:","2018-10-05T00:12:39Z"
"spotify:track:5J0Fpi2pyDBsRmEYTpxAHD","22","Mountain Faith","Mountain Faith Pop Series","1","5","87453","spotify:user:","2018-10-05T00:12:39Z"
"spotify:track:2RJA3aJLOKR1Q7xBQKDmy4","Shake It Off","Pickin' On Series","Pickin' On Taylor Swift, Vol. 2","1","4","230920","spotify:user:","2018-10-05T00:12:39Z"
"spotify:track:777LkVsyeIirHbJUjm2JHf","Low","The Cleverlys","Cash Crop","1","2","254853","spotify:user:","2018-10-05T00:12:39Z"
"spotify:track:5mf78CsTPJUOY2lWWbd8KB","Stronger","Rebecca Loebe","Bees & Zombies","1","3","208760","spotify:user:","2018-10-05T00:12:39Z"
"spotify:track:5b3H9J71t73nzr73pvEWrC","No Diggity","The Cleverlys","Cash Crop","1","6","351418","spotify:user:","2018-10-05T00:12:39Z"
"spotify:track:3JZteSHBgqZ8T1SWNLr56x","Dead Leaves And The Dirty Ground","Chris Thile","How To Grow A Woman From The Ground","1","2","187385","spotify:user:","2018-10-05T00:12:39Z"
"spotify:track:6JtxiSAgxUwo6VvkA7oLpd","Jolene","Rhonda Vincent","Back Home Again","1","8","194000","spotify:user:","2018-10-05T00:12:39Z"
"spotify:track:61XUS0rxs5k6H0mtgAWKnm","You're Not Sorry","Pickin' On Series","Pickin on Taylor Swift's You're Not Sorry","1","1","222853","spotify:user:","2018-10-05T00:12:39Z"
"spotify:track:5HjUkIQgYnl5JOSpmS494a","Lakes of Pontchartrain - Recorded at Spotify Studios NYC","Aoife O'Donovan","Spotify Singles","1","2","234917","spotify:user:","2018-10-05T00:12:39Z"
"spotify:track:2YcILFkmZHNi5qCqgP9F0R","New Slang","Pickin' On Series, Iron Horse","The Bluegrass Tribute to The Shins","1","3","253866","spotify:user:","2018-10-05T00:12:39Z"
"spotify:track:2Og7xHU8mVnIJqxQ5CFoyN","Young Folks","Dawn Landes","Under The Covers","1","2","205320","spotify:user:","2018-10-05T00:12:39Z"
"spotify:track:4ghmwqS5ipMJjmiJwKsugt","Down Under","Love Canon","Greatest Hits Vol. 3","1","3","283200","spotify:user:","2018-10-05T00:12:39Z"
"spotify:track:5zDZO6WqKkGk4oa6fkFLwH","A Hard Day's Night","Bill Evans","In Good Company","1","11","160186","spotify:user:","2018-10-05T00:12:39Z"
"spotify:track:0udJrKQOgJz6TwZXuhi7IM","This Must Be the Place (Naive Melody) [by Talking Heads]","Kishi Bashi","7" Singles","1","4","206896","spotify:user:","2018-10-05T00:12:39Z"
"spotify:track:1zQPmA4n3euo6UEV4R4col","I'm on Fire","The DeLorean Sisters","The DeLorean Sisters","1","1","132034","spotify:user:","2018-10-05T00:12:39Z"
"spotify:track:7mrdHjkfEFTXCniqDTOYHM","Cotton Eyed Joe (feat. Carl Miner & Jamie Dick)","Chessboxer, Carl Miner, Jamie Dick","Cotton Eyed Joe (feat. Carl Miner & Jamie Dick)","1","1","124734","spotify:user:","2018-10-05T00:12:39Z"
"spotify:track:23DqNr2t9vvi1tiS4vYqUB","Sex on Fire","Pickin' On Series, Iron Horse","The Bluegrass Tribute to Kings of Leon","1","1","277920","spotify:user:","2018-10-05T00:12:39Z"
"spotify:track:5B4aDOvZnl4A9JYBYAksIl","Billie Jean","Honeywagon","Songs From Neverland","1","4","285920","spotify:user:","2018-10-05T00:12:39Z"
"spotify:track:6lDTR2JakgO4nyaqASdtIT","Everybody Wants to Rule the World","Love Canon","Greatest Hits Vol. 2","1","3","265266","spotify:user:","2018-10-05T00:12:39Z"
"spotify:track:36Kg94RTJAgnTZbGwdVjJG","Super Freak","Ricky Skaggs, Bruce Hornsby","Ricky Skaggs & Bruce Hornsby","1","11","243809","spotify:user:","2018-10-05T00:12:39Z"
"spotify:track:2dJrn376fJPUCj1f4txnRQ","Where Is My Mind?","Trampled by Turtles","Where Is My Mind?","1","1","210628","spotify:user:","2018-10-05T00:12:39Z"
"spotify:track:7b6xD3ols9DgVfj53SmENK","Safe and Sound","Pickin' On Series","Pickin' on the Hits of 2013","1","4","190500","spotify:user:","2018-10-05T00:12:39Z"
"spotify:track:44eriZvPXHtb065mbCAfeg","Gin and Juice","Hayseed Dixie","Grasswhoopin' Party Pack, Vol. 2","1","1","386784","spotify:user:","2018-10-05T00:12:39Z"
"spotify:track:57BqPLE4mvQEBh53JWxgcI","Old Man","The Wailin' Jennys","40 Days","1","7","190253","spotify:user:","2018-10-05T00:12:39Z"
"spotify:track:2Fw3Heu6kvivVv4S3JOLs0","Stairway to Heaven","Rodrigo y Gabriela","Rodrigo y Gabriela","1","6","284200","spotify:user:","2018-10-05T00:12:39Z"
"spotify:track:6V4ih85eeVrzdxiQz8OeqC","Gentle On My Mind","John Mailander","Walking Distance","1","3","212986","spotify:user:","2018-10-05T00:12:39Z"
"spotify:track:31iIGTRrL3X0RfOM6zv0Mk","Walk This Way","Hayseed Dixie","Mountain Love","1","3","258000","spotify:user:","2018-10-05T00:12:39Z"
"spotify:track:42zrLbtRnhMwVN6T43fRRp","Centuries","Pickin' On Series","Pickin' on the Hits of 2015","1","5","237230","spotify:user:","2018-10-05T00:12:39Z"
"spotify:track:6IievBse1PXM8OSR6GkjSs","Karma Police","Mother Falcon","MF Computer (Radiohead’s OK Computer Reimagined)","1","6","262724","spotify:user:","2018-10-05T00:12:39Z"
"spotify:track:7L9CcpZEfjZQT7LsZuQFWw","My Love (Live)","Humming House","Humming House Party! (Live)","1","10","278854","spotify:user:","2018-10-05T00:12:39Z"
"spotify:track:3TXIXYKb8c6Lj6v7TcU0gB","Superstition","Old School Freight Train","Run","1","4","201133","spotify:user:","2018-10-05T00:12:39Z"
"spotify:track:3xSdEH8yjB0hiCcj9CG0xR","I'm On Fire","Town Mountain","Heroes & Heretics","1","7","213826","spotify:user:","2018-10-05T00:12:39Z"
"spotify:track:2idEuX7ElWNgZJ6OjSThKs","The Science of Myth","Old Man Markley","For Better for Worse","1","2","232146","spotify:user:","2018-10-05T00:12:39Z"
"spotify:track:7v7ytRZIWuZuNxXSGwxIhK","Gin and Juice","The Gourds","Shinebox","1","1","383733","spotify:user:","2018-10-05T00:12:39Z"
"spotify:track:1lDPD85vlOjj4WmhSrpswH","Get Lucky","The Beef Seeds","Rhythm and Moos","1","2","209361","spotify:user:","2018-10-05T00:12:39Z"
"spotify:track:4zzi2eD2cEPpQ3a307mPPj","Billie Jean","The Civil Wars","Between The Bars (EP)","1","3","259920","spotify:user:","2018-10-05T00:12:39Z"
"spotify:track:1lEoFZKzfqvuJxap6zUxiJ","7 Nation Army","Hayseed Dixie","Grasswhoopin' Party Pack, Vol. 1","1","2","176841","spotify:user:","2018-10-05T00:12:39Z"
"spotify:track:70OBOxYnVHt07Vgv1KgjKu","Single Ladies (Put a Ring On It)","The Cleverlys","The Cleverlys","1","10","270720","spotify:user:","2018-10-05T00:12:39Z"
"spotify:track:28LJVZ5PfkIboFoW0J4GgE","Sweet Child O' Mine","Pickin' On Series, Iron Horse","The Bluegrass Tribute to Guns N' Roses","1","6","241786","spotify:user:","2018-10-05T00:12:39Z"
"spotify:track:65PXViRNbmck0eXI0qhB2G","Somebody to Love","Branches","Covers","1","3","222500","spotify:user:","2018-10-05T00:12:39Z"
"spotify:track:7GXfXVnuqATxCs6EQoDcVS","Enter Sandman","Iron Horse","Fade To Bluegrass: The Bluegrass Tribute To Metallica","1","3","261413","spotify:user:","2018-10-05T00:12:39Z"
"spotify:track:6yP7UyRK6TVncJSvgaDJnF","Steady as She Goes","Pickin' On Series","The Bluegrass Tribute to Jack White","1","5","215093","spotify:user:","2018-10-05T00:12:39Z"
"spotify:track:525z8O4TTjzSn6gfLItXtd","Just One Look","Branches","Covers","1","2","188500","spotify:user:","2018-10-05T00:12:39Z"
"spotify:track:6lppKNQ2cJmxITiSRs2952","Beat It","Honeywagon","Songs From Neverland","1","1","214226","spotify:user:","2018-10-05T00:12:39Z"
"spotify:track:0ELVXVHz8aPgwLySfkDn8e","Hey Ya","Obadiah Parker","Obadiah Parker Live","1","11","267599","spotify:user:","2018-10-05T00:12:39Z"
"spotify:track:5okFkhRbWOSDWp3c15ouMB","Loser","The Cleverlys","Cash Crop","1","4","259389","spotify:user:","2018-10-05T00:12:39Z"
"spotify:track:1MQGtGT7te6yAQMVKvvRbs","Float On","Ben Lee","John Tucker Must Die","1","11","241186","spotify:user:","2018-10-05T00:12:39Z"
"spotify:track:7bqtShG4VYS372JEtHLXRp","Eye of the Tiger","The Rural Alberta Advantage","Drain The Blood b/w Eye Of The Tiger","1","2","180866","spotify:user:","2018-10-05T00:12:39Z"
"spotify:track:7hN5TKSdRb56uytwIpcUES","99 Problems","Hugo","Old Tyme Religion","1","2","137426","spotify:user:","2018-10-05T00:12:39Z"
"spotify:track:3e5eR2DBoHD2qR4HN3YmTv","Whole Wide World","Bahamas","Pink Strat","1","12","155240","spotify:user:","2018-10-05T00:12:39Z"
"spotify:track:5yGs5BtZC9uN1VW0lKfgwz","Walking on Sunshine","Sam Amidon","BrooklynVegan Presents Sun Salute: A Tribute to Katrina & The Waves and Walking on Sunshine","1","1","187724","spotify:user:","2018-10-05T00:12:39Z"
"spotify:track:6EmwBRFDI25uukoQ9jCU6J","Hot In Herre","Jenny Owen Youngs","The Take Off All Your Clothes - EP","1","3","256120","spotify:user:","2018-10-05T00:12:39Z"
"spotify:track:0EkB09i9ohIUnsw45jzEyf","Toxic","Yael Naim","Yael Naim","1","11","267225","spotify:user:","2018-10-05T00:12:39Z"
"spotify:track:7cQ2x6bqiOKWzKxB7Rp8tc","Don't You Want Me","Bahamas, The Weather Station","The Secret Life Of Walter Mitty (Music From And Inspired By The Motion Picture)","1","8","199426","spotify:user:","2018-10-05T00:12:39Z"
"spotify:track:1Mw433bxzwrR1boiIcovdZ","Ace of Spades","Lisa LeBlanc","Why You Wanna Leave, Runaway Queen?","1","11","155168","spotify:user:","2018-10-05T00:12:39Z"
"spotify:track:5TCgrYo0UKc7rYt3VfR5L5","It's Alright Ma, I'm Only Bleeding","The Duhks, Various Artists","The Village","1","2","349506","spotify:user:","2018-10-05T00:12:39Z"
"spotify:track:2PtX9ivW736enJeAIY5G0h","White Bird","Sam Bush","Laps In Seven","1","11","360933","spotify:user:","2018-10-05T00:12:39Z"
"spotify:track:6xAdFwLNed6786FezhUMVS","Take On Me","Love Canon","Greatest Hits Vol. 2","1","6","224773","spotify:user:","2018-10-05T00:12:39Z"
"spotify:track:40gDRdKSnvuYSESfYOTLyH","Love Is The Seventh Wave","The Duhks","The Duhks","1","14","205373","spotify:user:","2018-10-05T00:12:39Z"
"spotify:track:0jEaPBjFAWjQTMVouRwaHi","Happy","The Beef Seeds","Keepin' it Beefy","1","5","218044","spotify:user:","2018-10-05T00:12:39Z"
"spotify:track:0ShbiDJGWaMyTimkimVohJ","For The Turnstiles","The Be Good Tanyas","Hello Love","1","2","266960","spotify:user:","2018-10-05T00:12:39Z"
"spotify:track:1ABTia5xv1oYxqL5EFbf43","Senor (Tales Of Yankee Power)","Tim O'Brien","Red On Blonde","1","1","242760","spotify:user:","2018-10-05T00:12:39Z"
"spotify:track:3ei99dge15PXGB99SCSA4y","I Will","Alison Krauss","Now That I've Found You: A Collection","1","9","244066","spotify:user:","2018-10-05T00:12:39Z"
"spotify:track:4MhBFMMibAWuJv8zMQWrKA","Little Piece of My Heart","John Hartford","Gum Tree Canoe","1","6","190733","spotify:user:","2018-10-05T00:12:39Z"
"spotify:track:11q3nuWgsWqcrlyiJHUanA","The Way You Make Me Feel","Honeywagon","Songs From Neverland","1","9","193093","spotify:user:","2018-10-05T00:12:39Z"
"spotify:track:2dcZFrC8XkdxhVxmb8p2kO","Brain Damage","The Austin Lounge Lizards","Lizard Vision","1","1","151066","spotify:user:","2018-10-05T00:12:39Z"
"spotify:track:7J4jNen0x3Y8Gy89aRIzyK","Kid A","Punch Brothers","Who's Feeling Young Now?","1","11","292693","spotify:user:","2018-10-05T00:12:39Z"
"spotify:track:4xMmjrefx4NlEOHfGu3EQf","Wild Horses","Old & In The Way","Breakdown","1","18","278533","spotify:user:","2018-10-05T00:12:39Z"
"spotify:track:4LOf8epMgZYgYJrt1CesTp","Lucy in the Sky With Diamonds","Bill Evans","In Good Company","1","10","78733","spotify:user:","2018-10-05T00:12:39Z"
