Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
spotify:track:6JrFjXbDpIsdc2dop8EJiK,"Suite Bergamasque, L. 75: III. Clair de Lune","Claude Debussy, Huga Gorka",Masterpieces,1,2,188500,spotify:user:,2019-10-10T17:49:55Z
spotify:track:3IHXfgPhTmYAJXVzGkJUZ8,"Nocturnes, Op. 9: No. 1 in B-Flat Minor","Frédéric Chopin, Emma Czaplica",Nocturne,1,1,88500,spotify:user:,2019-10-10T17:49:55Z
spotify:track:5ftDbeWsDRqQqrPaJT3bug,Always Too Late,Benjamin Monday,The Secretary's Daughter,1,8,120874,spotify:user:,2019-10-10T17:49:55Z
spotify:track:4z0spwzLajA7R76czkAIEE,"At Last, Sunrise",Maree Docia,We Were Legends,1,8,120500,spotify:user:,2019-10-10T17:49:55Z
spotify:track:6GfO9XGg9msjsDhxQdUSJw,Spirit Garden,Gavin Luke,Beloved,1,2,225407,spotify:user:,2019-10-10T17:49:55Z
spotify:track:3WzXJhi5jtc29EoOwjPf2D,Delicate Transitions,Gavin Luke,Drifting Among Strangers,1,2,148245,spotify:user:,2019-10-10T17:49:55Z
spotify:track:5JwtahJeHWFPETXjxBH74B,"Softly, Gently",Jon E. Amber,"Softly, Gently",1,2,120907,spotify:user:,2019-10-10T17:49:55Z
spotify:track:540Gpgt7KznLVQNDRukVy3,City Lights,Ola Gjeilo,City Lights,1,1,161306,spotify:user:,2019-10-10T17:49:55Z
spotify:track:79QLJF7s9rE7M5QX5vtixF,Path Solo,Max Richter,Richter: Path Solo,1,1,250893,spotify:user:,2019-10-10T17:49:55Z
spotify:track:2Bs5JUVJz4BELXtCz01U3f,Filma,Gabríel Ólafs,Filma,1,1,198946,spotify:user:,2019-10-10T17:49:55Z
spotify:track:00CXUMREit80f2McJsjcIz,"Lieder ohne Worte (Songs without Words), Book 2, Op. 30: No. 7 in E-Flat Major, Op. 30, No. 1","Felix Mendelssohn, Péter Nagy","Mendelssohn, Felix: Songs Without Words, Vol. 1",1,4,282813,spotify:user:,2019-10-10T17:49:55Z
spotify:track:6B0ZlLf0p2s1Lwt3ivAXKy,Still,Ola Gjeilo,Still,1,1,142333,spotify:user:,2019-10-10T17:49:55Z
spotify:track:3N8hypGjUmiZg3lwvjr9D1,The Slow Calm,Jon E. Amber,The Slow Calm,1,6,150778,spotify:user:,2019-10-10T17:49:55Z
spotify:track:5Vaxf1I82uDRTPa40UqklB,"Newman: American Beauty: No. 12, Any Other Name","Thomas Newman, Nikolaj Bloch",Classical Chillout,2,1,248560,spotify:user:,2019-10-10T17:49:55Z
spotify:track:5NGtFXVpXSvwunEIGeviY3,Gymnopédie No. 1,"Erik Satie, Philippe Entremont",Erik Satie & Friends,11,3,205866,spotify:user:,2019-10-10T17:49:55Z
spotify:track:7IZRtCwdcpJuXLDS6ZTbQJ,Two Skies,Dirk Maassen,Two Skies,1,1,237626,spotify:user:,2019-10-10T17:49:55Z
spotify:track:6KOBMsYaTl9ehUTF3NcX3c,May it Be,2CELLOS,Score,1,2,235786,spotify:user:,2019-10-10T17:49:55Z
spotify:track:5JHtfM9QWN8pgcMP8Dejt8,Lady Radnor's Suite: V. Slow Minuet,"Hubert Parry, London Symphony Orchestra, Sir Adrian Boult",Parry: Boult Conducts Parry,1,14,138333,spotify:user:,2019-10-10T17:49:55Z
spotify:track:0AREu5AAOi3cz80aKLE1E3,Gnossiennes: II. Avec étonnement,"Erik Satie, Nicole Tezgyul",Gnosiennes I & II,1,2,133381,spotify:user:,2019-10-10T17:49:55Z
spotify:track:24RujfjrtKAr66E3Ixjmns,"Vaughan Williams: The Lark Ascending, for Violin and Orchestra (Excerpt, Opening)","Ralph Vaughan Williams, Sir Adrian Boult, New Philharmonia Orchestra",Alan Titchmarsh/Radio 2 Melodies For You,1,1,385266,spotify:user:,2019-10-10T17:49:55Z
spotify:track:43JiVtB9jSv89httTl3Hjb,Ashokan Farewell,"Jay Ungar, Music Lab Collective, Valentina Lisitsa",Chilled Piano Vol.3,1,1,292946,spotify:user:,2019-10-10T17:49:55Z
spotify:track:4MvqWzm7BDfHKkms39axnn,Elegy For The Arctic,Ludovico Einaudi,Elegy For The Arctic,1,1,158537,spotify:user:,2019-10-10T17:49:55Z
spotify:track:3uChBSf2CVBKGdhlhnXkCz,"Piano Sonata No. 14 in C-Sharp Minor, Op. 27, No. 2, I. Adagio, Moonlight Sonata""","Ludwig van Beethoven, Yavor Gabriellini",Ludwig van Beethoven,1,1,369384,spotify:user:,2019-10-10T17:49:55Z
spotify:track:6XNxVEWV0NiBaJZpUjIVHa,"Peer Gynt Suite No. 2, Op. 55: IV. Solveig's Song","Edvard Grieg, Academy of St. Martin in the Fields, Sir Neville Marriner","Grieg: Peer Gynt, Suite No. 1, Op. 46 / Suite No. 2, Op. 55 / Holberg Suite, Op. 40",1,15,311560,spotify:user:,2019-10-10T17:49:55Z
spotify:track:2kyEgPaAW8wdpvevPnkf0Z,Ave Maria,"Charles Gounod, Yo-Yo Ma",Songs from the Arc of Life,1,1,163266,spotify:user:,2019-10-10T17:49:55Z
spotify:track:0RHTXb9iLJgAzkk5NkFunj,Angel Song,Martin Landh,Angel Song,1,1,181036,spotify:user:,2019-10-10T17:49:55Z
spotify:track:6nEFWWs5MP1lAyOdcq0JOB,Arctic Lake,Lars Meyer,Memories Of The Green Valley,1,2,125184,spotify:user:,2019-10-10T17:49:55Z
spotify:track:0bcGY7mfG10QfeaDbz97hC,"Nocturne, Op. posth. in C-Sharp Minor: Lento","Frédéric Chopin, Brigitte Engerer",Chopin: Complete Nocturnes,2,10,239973,spotify:user:,2019-10-10T17:49:55Z
spotify:track:57A1DXfOmcPEFYenH27qTl,83 42,They Dream By Day,Pruina,1,2,225852,spotify:user:,2019-10-10T17:49:55Z
spotify:track:5WEmDvDiRpE7p3y8SMMAPJ,Henry V: Henry V: Touch her soft lips and part,"William Walton, The Cambridge Singers, Aurora Orchestra, John Rutter",This is the Day: Music on Royal Occasions,1,15,93840,spotify:user:,2019-10-10T17:49:55Z
spotify:track:2CqYEUz87EmtXLpu5QhjrQ,The Nomad,Koral Banko,The Nomad,1,1,177196,spotify:user:,2019-10-10T17:49:55Z
spotify:track:0wOu7LqfkyRwBZEFokCYpr,Gnossiennes: I. Lent,"Erik Satie, Nicole Tezgyul",Gnosiennes I & II,1,1,278572,spotify:user:,2019-10-10T17:49:55Z
spotify:track:13fMXmeTTidhcgVev1Jp4C,Pruina,They Dream By Day,Pruina,1,3,163629,spotify:user:,2019-10-10T17:49:55Z
spotify:track:1L4NadMj3Jj7YgGaikyhfr,"6 Consolations, S. 172: No. 3 In D Flat Major (Lento, placido)","Franz Liszt, Daniel Barenboim",Liszt: Dreams of Love; Consolations; Sonnets of Petrarca; Rigoletto Paraphrase,1,3,254000,spotify:user:,2019-10-10T17:49:55Z
spotify:track:5PtmAQ3m2jxhUkDVFQAJag,Cello Sonata: I. Dialogo,"György Ligeti, Miklós Perényi",Ligeti / Farkas / Veress / Liszt / Dohnanyi / Weiner / Mihaly: Hungarian Cello Music,1,1,238306,spotify:user:,2019-10-10T17:49:55Z
spotify:track:17i5jLpzndlQhbS4SrTd0B,"Cello Suite No. 1 in G Major, BWV 1007: I. Prélude","Johann Sebastian Bach, Yo-Yo Ma","Bach: Cello Suites Nos. 1, 5 & 6",1,1,152280,spotify:user:,2019-10-10T17:49:55Z
spotify:track:3LNsyHdo8MWl4mqbkzAvKh,"Piano Concerto in A Minor, Op. 7: II. Romanze: Andante non troppo con grazia","Clara Schumann, Veronica Jochum, Bamberg Symphony, Joseph Silverstein","Schumann, C.: Piano Concerto, Op. 7 / Piano Trio, Op. 17 / 3 Romanzen",1,2,269973,spotify:user:,2019-10-10T17:49:55Z
spotify:track:6opPrJUpq4Pl5c84eCwLmo,Gabriel's Oboe,Ennio Morricone,The Mission: Music From The Motion Picture,1,3,134133,spotify:user:,2019-10-10T17:49:55Z
spotify:track:20eiZMFDk5Sm7zCQ2XrDXg,Silver And Coal,Jon E. Amber,The Slow Calm,1,1,128026,spotify:user:,2019-10-10T17:49:55Z
spotify:track:6a9k0t462Q4ZSjJSOJXoTX,"Orff: Carmina Burana, Pt. 3: In trutina"" (Soprano)""","Carl Orff, David Hill, Janice Watson, Bournemouth Symphony Orchestra",Orff: Carmina Burana,1,21,163960,spotify:user:,2019-10-10T17:49:55Z
spotify:track:1Oui96x92JVAzK4nsoKavW,River Free,Boil The Ocean,River Free,1,3,173225,spotify:user:,2019-10-10T17:49:55Z
spotify:track:08Qo5HDgqtUIlnwGetLlFI,"Goldberg Variations, BWV 988: Aria","Johann Sebastian Bach, Réka Ioescu",Bach Piano Classics,1,2,129481,spotify:user:,2019-10-10T17:49:55Z
spotify:track:2IYNwrVy5vnw1u2hrACHvd,Full Room Empty Space,Vincent & A Secret,"If You Do, Don't",1,5,113143,spotify:user:,2019-10-10T17:49:55Z
spotify:track:69RoAhDqFOiQb2pQvb24Ii,Requiem: Lacrimosa,"Wolfgang Amadeus Mozart, Choir of King's College, Cambridge, Stephen Cleobury",Mozart: Requiem Realisations,1,8,169666,spotify:user:,2019-10-10T17:49:55Z
spotify:track:7xI0wxBQhYMSWDhkuvbRgM,"Keyboard Concerto in G Major, Wq. 44: II. Andantino","Carl Philipp Emanuel Bach, Michael Rische, Kammersymphonie Leipzig","C.P.E. Bach: Keyboard Concertos, Wq. 26, 44 & 20",1,5,198333,spotify:user:,2019-10-10T17:49:55Z
spotify:track:05iURKvut2OWEzPHQUhDT5,"Concerto in D Minor, Op.7, No.4: I. Adagio","George Frideric Handel, Academy of Ancient Music, Richard Egarr","Handel: Organ Concertos, Op. 7",1,14,285840,spotify:user:,2019-10-10T17:49:55Z
spotify:track:4TLQRJiwvwUQyKdEA5PWqx,L'Origine Nascosta,Ludovico Einaudi,Divenire,1,8,191906,spotify:user:,2019-10-10T17:49:55Z
spotify:track:0NXKdkvfz9YtyuQqIoMALD,"The Well-Tempered Clavier: Book 1, BWV 846-869: Prelude and Fugue in C Major, BWV 846","Johann Sebastian Bach, András Schiff","Bach 50, The Very Best Of Classical Music",1,2,233472,spotify:user:,2019-10-10T17:49:55Z
spotify:track:48x7KPjY5apjU369NrXDlQ,Rutter: Requiem: III. Pie Jesu,"John Rutter, Choir of King's College, Cambridge, Stephen Cleobury, Edward Saklatvala, City of London Sinfonia",Rutter: Requiem,1,3,215866,spotify:user:,2019-10-10T17:49:55Z
spotify:track:732DlohkLtia2hJwxzomus,Allegri: Miserere: Opening (Excerpt),"Gregorio Allegri, Stephen Cleobury, Timothy Beasley-Murray",Classical Chillout,1,19,345480,spotify:user:,2019-10-10T17:49:55Z
spotify:track:23ryVoyGTrfO3F0GblIfnz,"Elgar: Variations on an Original Theme, Op. 36, Enigma: IX. Nimrod (Adagio)","Edward Elgar, London Symphony Orchestra, Sir Adrian Boult",Elgar: Enigma Variations & Pomp & Circumstance Marches Nos 1-5,1,10,234133,spotify:user:,2019-10-10T17:49:55Z
spotify:track:5CrJuyTUSlijYf0BKcVir6,Barber's Adagio for Strings,William Orbit,Return of the 90s,1,39,258240,spotify:user:,2019-10-10T17:49:55Z
spotify:track:0bYiHGOcXqFaxa0H6ru88X,"Luke And Leia - From Star Wars: Return Of The Jedi""","John Williams, Anne-Sophie Mutter, The Recording Arts Orchestra of Los Angeles",Across The Stars,1,10,301409,spotify:user:,2019-10-10T17:49:55Z
spotify:track:0CNEZVzQEF8nVnXP4edvnH,Jenkins / Arr Ratledge: Adiemus: Adiemus,"Karl Jenkins, Adiemus, London Philharmonic Orchestra, Mary Carewe, Jody K Jenkins",Still with the Music - The Album,1,1,237426,spotify:user:,2019-10-10T17:49:55Z